[2017-05-12 15:21:25.275] [INFO] [default] - Proceeding to analyze Personal Info and profession..!
[2017-05-12 15:21:25.276] [DEBUG] [default] - createPerson QUERY ::: MERGE(p:Person{ name: {personName} ,gender: {gender} ,dob: {dob} ,email: {email} ,displayName: {displayName}})RETURN p
[2017-05-12 15:21:25.477] [DEBUG] [default] - relatePersonToProfession QUERY ::: MATCH(p:Person{name:{personName}})MERGE(pro:Profession{name:{profession}})MERGE(p)-[ppro:Profession_Is]->(pro)RETURN p,ppro,pro
[2017-05-12 15:21:25.791] [DEBUG] [default] - [*] Done analysing profileData instance [ greenehopper@gmail.com:Testing ]
[2017-05-12 15:21:25.792] [DEBUG] [default] - Returned data from processorMethod  [ { person: Node { identity: [Object], labels: [Object], properties: [Object] } } ]
[2017-05-12 15:24:48.681] [DEBUG] [default] - Service  jobprefrencesAnalyzer  is now running..!
[2017-05-12 15:24:58.662] [DEBUG] [default] - Service  jobprefrencesAnalyzer  is now running..!
[2017-05-12 15:25:00.928] [DEBUG] [default] - Service  jobprefrencesAnalyzer  is now running..!
[2017-05-12 15:25:10.191] [DEBUG] [default] - Service  jobprefrencesAnalyzer  is now running..!
[2017-05-12 15:27:52.605] [DEBUG] [default] - Service  jobprefrencesAnalyzer  is now running..!
[2017-05-12 15:28:35.217] [DEBUG] [default] - Service  jobprefrencesAnalyzer  is now running..!
[2017-05-12 15:28:49.931] [DEBUG] [default] - Service  jobprefrencesAnalyzer  is now running..!
[2017-05-12 15:31:56.390] [DEBUG] [default] - Service  jobprefrencesAnalyzer  is now running..!
[2017-05-12 15:31:58.156] [DEBUG] [default] - Service  jobprefrencesAnalyzer  is now running..!
[2017-05-12 15:32:08.281] [DEBUG] [default] - Service  jobprefrencesAnalyzer  is now running..!
[2017-05-12 15:33:49.681] [DEBUG] [default] - Service  jobprefrencesAnalyzer  is now running..!
